,listings,Ticker,listing date,ids,Price at 1/09 USD,Price at 1/09 BTC,Price at 1/09 ETH,Current Market Cap
30,Curve DAO Token,CRV,23-03-2021,curve-dao-token,4.605927983902252,0.00011030207525563216,0.001488742057396354,1822198942.7229733
31,Dash,DASH,12-09-2019,dash,142.21154751799284,0.0034056608942590995,0.045966049095297605,1502698846.0913532
32,Decentraland,MANA,07-12-2018,decentraland,2.954629844358916,7.074485475522871e-05,0.0009548400642002212,3939128054.7586184
33,Decentralized Social,DESO,13-12-2021,bitclout,74.8762837086552,0.0017920634207455061,0.024169705009813556,790428530.5235319
34,DerivaDAO,DDX,31-08-2021,derivadao,3.559135807623977,8.523365260369351e-05,0.001150394705109137,93082139.51550272
35,DFI.Money,YFII,31-08-2021,yfii-finance,2493.4723668813895,0.05967791666470397,0.8048809125215489,99401124.13619886
36,District0x,DNT,07-12-2018,district0x,0.11159202653735727,2.673079004999397e-06,3.607842489148999e-05,84034900.38081466
37,Dogecoin,DOGE,01-06-2021,dogecoin,0.15134375920597876,3.6243577354557296e-06,4.8917790343634e-05,20139878464.325054
38,Enzyme,MLN,08-06-2021,melon,74.85769149448748,0.0017926808125411377,0.02419573081405997,109097523.98216368
39,EOS,EOS,08-04-2019,eos,2.758213915470049,6.607034514488329e-05,0.0008917484221028588,2715427024.2909617
40,Ethereum Name Service,ENS,15-11-2021,ethereum-name-service,27.81464539557011,0.0006662729134461186,0.008992654994499657,629927057.9123358
41,Fetch.ai,FET,26-07-2021,fetch-ai,0.47606367603943744,1.1403644659485108e-05,0.00015391446963108644,329024004.48607326
42,Function X,FX,06-10-2021,fx-coin,0.7697939236303106,1.843966848960698e-05,0.0002488793609848468,344327477.5794091
43,Gala,GALA,15-11-2021,gala,0.31590308300002395,7.563897645667608e-06,0.00010208958006319693,2392973385.089991
44,Gitcoin,GTC,08-06-2021,gitcoin,10.81423093246302,0.00025856525777341095,0.0034857771274174874,153786201.6088091
45,Gods Unchained,GODS,08-12-2021,gods-unchained,3.055621227312964,7.319444949076563e-05,0.000987902132143356,104399974.57151616
46,Golem,GLM,18-12-2018,golem,0.40983444190096624,9.814653987405842e-06,0.00013246793531291988,411654706.3204274
47,GYEN,GYEN,09-11-2021,gyen,0.008616639925027772,2.062135932739455e-07,2.7812194929862023e-06,83773390.26924083
48,Harvest Finance,FARM,26-07-2021,harvest-finance,141.3649983451595,0.0033832113720225284,0.04562964675302279,92346082.17233598
49,IDEX,IDEX,06-12-2021,aurora-dao,0.22659200578404587,5.426391502791435e-06,7.323975756014905e-05,139048930.91275924
50,iExec,RLC,04-05-2021,iexec-rlc,2.7642975096771343,6.619898378937282e-05,0.0008934846519953082,198076585.31709644
51,Immutable X,IMX,08-12-2021,immutable-x,3.4218249786801467,8.19665059692268e-05,0.0011062981766336837,651129109.2387413
52,Internet Computer,ICP,10-05-2021,internet-computer,32.89098920498109,0.0007878718168816839,0.010633869824395258,6342674723.443418
53,IoTeX,IOTX,10-08-2021,iotex,0.10308324926680466,2.4686222533138673e-06,3.3318881479025055e-05,981239779.3688054
54,Jasmy,JASMY,06-10-2021,jasmycoin,0.07308907411015415,1.7492009308861418e-06,2.3591615125329452e-05,348452074.4678377
