,Did not list,listing date,ids,Price at listing,Price at listing BTC,Price at listing ETH,market cap at consideration,earliest listed price,earliest listed price BTC,earliest listed price ETH,market cap earliest listed,Current price,Current BTC,Current ETH,current market cap,Return BTC,Return USD,a16z,Coinbase ventures
25,Harmony,5-8-2019,harmony,0.00965041723042508,8.812426820381876e-07,4.3459058290631374e-05,24910296.883990183,,,,,0.2651226531096461,5.213403492576406e-06,6.502922185683527e-05,3036716339.5862355,,,,
26,Ontology,5-8-2019,ong,0.2425540109614383,2.21511644290171e-05,0.0010923991378850376,0.0,,,,,0.8344018629504047,1.64146473464174e-05,0.000204765837280623,0.0,,,,
27,Waves,5-8-2019,waves,1.3642511973576823,0.0001245652577483287,0.0061466011004939845,136431318.1977677,,,,,16.26858906466479,0.00032000346566528467,0.003991553002436054,1626858906.466479,,,,
29,aeternity,7-12-2018,aeternity,0.3511164436103678,9.981462230745951e-05,0.003856285201465178,80009990.31007358,,,,,0.1398427758597955,2.750710141212251e-06,3.431089504034136e-05,55149332.84590852,,,,
30,bread wallet,7-12-2018,bread,0.19491323868310875,5.540951344183566e-05,0.002140717279357656,11895132.733462766,,,,,0.7918708928672705,1.5577963122406775e-05,0.00019432855269854414,68031076.49904934,,,,
31,IOST,7-12-2018,iostoken,0.004061100100947697,1.154480743085627e-06,4.4602753604818385e-05,53542430.26555497,,,,,0.03795033214856784,7.462598606613738e-07,9.308448523292239e-06,869146521.9195318,,,,
32,Kin,7-12-2018,kin,2.6585852436789725e-05,7.549886475901848e-09,2.928820302425886e-07,25328935.32116405,,,,,8.659935079799275e-05,1.703410927006067e-09,2.1247441761100465e-08,145029643.30691385,,,,
33,Mainframe,7-12-2018,mainframe,0.002993497812121631,8.509850761267627e-07,3.287735884655152e-05,13447372.781861309,,,,,0.009553732448000707,1.8788633543958362e-07,2.3438031885754306e-06,90106933.30253343,,,,
34,Neo,7-12-2018,neo,6.062802904327984,0.0017235204816884206,0.0665873032859283,394082188.78131896,,,,,29.587368508053896,0.0005819841182821243,0.007259360300581658,2086797100.8730416,,,,
35,Po.et,7-12-2018,poet,0.005116068968522857,1.4543850084067785e-06,5.618939645812518e-05,11861359.61047858,,,,,9.657159168013453e-05,1.8999738142536545e-09,2.3706379946589136e-08,243217.90041052605,,,,
36,Quarkchain,7-12-2018,quark-chain,0.041892289959454806,1.1909049479145753e-05,0.0004600998351572606,65111232.90143382,,,,,0.023567762399377468,4.634392925839916e-07,5.780695205643053e-06,155528667.30104062,,,,
37,Status,7-12-2018,status,0.015942971735077638,4.532233483092524e-06,0.00017510044627127257,55511712.2592375,,,,,0.07503512043801008,1.4754995635760714e-06,1.8404596652854553e-05,291172568.4135638,,,,
